Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
Мороженое пломбир ванильный во взбитой шоколадной глазури	90	4607067937957	12 месяцев	СТМ МЕТРО (Fine Life)																																			
Мороженое сливочное ванильное во взбитой шоколадной глазури с растительным жиром	90	4620032652433	12 месяцев	СТМ Фреш Маркет (Viante Vittoria)																																			
"Мороженое пломбир ванильный во взбитой шоколадной глазури ""Филевская Лакомка"""	90	4600625307568	18 месяцев	Филевская лакомка 																																			
"Мороженое сливочное ванильное во взбитой шоколадной глазури  ""Филевская лакомка"" "	90	4600625307544	18 месяцев	Филевская лакомка 																																			
"Мороженое  сливочное шоколадное во взбитой шоколадной глазури ""Филевская лакомка"""	90	4600625307551	18 месяцев	Филевская лакомка 																																			
Мороженое пломбир ванильный во взбитой шоколадной глазури 	90	4620032652983	18 месяцев	СТМ Х5 Светаево 																																			
Мороженое сливочное ванильное во взбитой шоколадной глазури	90	4620032653492	18 месяцев	Семейное																																			
"Мороженое пломбир ванильный во взбитой шоколадной глазури ""Лакомка"""	90	4620032653539	18 месяцев	СТМ Х5 Светаево 																																			
"Мороженое эскимо пломбир ванильный в молочно-шоколадной глазури с миндалем и бисквитной крошкой ""Жемчужина России"""	80	4607067934055	18 месяцев	Жемчужина России 																																			
 Мороженое  эскимо сливочное с ароматом фисташки с кешью в молочно-шоколадной глазури с кешью и бисквитной крошкой «Жемчужина России»	80	4607067935175	18 месяцев	 Жемчужина России																																			
"Десерт фруктово-ягодный замороженный двухслойный со вкусом ""Зеленое яблоко"" и ""Тропик"""	70	4600625312388	18 месяцев	100% ВКУС																																			
"Десерт фруктово-ягодный замороженный двухслойный со вкусом ""Персик"" и ""Малина"""	70	4600625312425	18 месяцев	100% ВКУС																																			
Мороженое эскимо сливочное ванильное в шоколадной глазури	80	4607067937087	12 месяцев	СТМ Ялтинское																																			
Мороженое эскимо сливочное шоколадное в шоколадной глазури	80	4607067937100	12 месяцев	СТМ Ялтинское																																			
Лёд со вкусом апельсина	70	4607067938039	18 месяцев	Кот																																			
Фруктовый лёд со вкусом яблока	70	4607067938053	18 месяцев	Кот																																			
Мороженое эскимо пломбир ванильный в шоколадной глазури 	80	4607067937933	12 месяцев	СТМ МЕТРО (Fine Life)																																			
Мороженое эскимо пломбир ванильный в шоколадной глазури 	80	4665297601727	12 месяцев	СТМ Фреш Маркет (Viante Vittoria)																																			
Мороженое эскимо пломбир ванильный в шоколадной глазури	80	4607067939067	12 месяцев	СТМ ГУМ																																			
